거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
좌수영음식문화거리,"장어탕, 서대회 특화음식",전라남도 여수시 중앙로 72-16 +전라남도 여수시 교동남1길 6-17,전라남도 여수시 중앙동 775+전라남도 여수시 교동 572-2,34.739714,127.735486,276.0,29,2020,061-659-4350,전라남도 여수시청,2024-03-21,4810000,전라남도 여수시
덕양곱창전골거리,"곱창전골, 막창구이 특화음식",전라남도 여수시 소라면 하세동길 8-1 +전라남도 여수시 소라면 덕양로 448-2,전라남도 여수시 덕양리 1271+전라남도 여수시 덕양리 1275,34.797945,127.631559,82.0,16,2020,061-659-4350,전라남도 여수시청,2024-03-21,4810000,전라남도 여수시
영동 와인삼겹살거리,10여개 와인과 삼겹살이 조화되는 식당이 있는 거리,충청북도 영동군 영산로3길,,,,2773.0,6,2015,043-740-3791,충청북도 영동군청,2022-06-16,4440000,충청북도 영동군
병천순대거리,순대국밥집이 밀집되어 있는 거리,충청남도 천안시 동남구 병천면 아우내순대길,충청남도 천안시 동남구 병천면 병천리 289-14,36.7596683,127.2970403,500.0,20,2008,041-521-5609,충청남도 천안시청,2024-06-07,4490000,충청남도 천안시
백양사 먹거리타운,"봄에는 벚꽃이, 여름에는 신록이, 가을에는 단풍이, 겨울에는 설경이 아름다운 백양사 일원에 황금밥상(연잎밥, 황금두부, 쌈밥 등) 거리 조성",전라남도 장성군 북하면 백양로,,35.427976,126.879276,400.0,14,1990,061-390-7343,전라남도 장성군청,2024-06-02,4980000,전라남도 장성군
장성호 미락단지,"장성호 하류의 미락단지는 조선시대부터 민물고기 전문요리가 이어져 왔으며 메기탕, 메기찜, 빠가탕 등이 유명하다",전라남도 장성군 장성읍 미락단지길,,35.343484,126.816809,1000.0,13,2000,061-390-7343,전라남도 장성군청,2024-06-02,4980000,전라남도 장성군
장성읍 먹거리타운,남도 어머니의 손맛이 느껴지는 애호박찌개는 두툼하게 썬 애호박 특유의 향과 아삭함이 매력적임,전라남도 장성군 장성읍 청운길,,35.299882,126.780184,380.0,20,2000,061-390-7343,전라남도 장성군청,2024-06-02,4980000,전라남도 장성군
이태원세계음식거리,"예쁘고 독특한 카페, 색다른 분위기의 루프탑, 그리고 미국, 이탈리아, 스페인, 일본, 인도, 태국, 베트남, 중국을 비롯한 한국과 이슬람 음식을 파는 식당과 술집들이 골목 양쪽에 늘어선 거리. 개성이 넘치는 가게들이 밀집된 거리는 순간순간 세계 각국을 이동하는 기분을 느낄 수 있다",서울특별시 용산구 이태원로 27가길 40,서울특별시 용산구 이태원동 116-7,37.535028,126.992952,480.0,106,2013,02-2199-6114,서울특별시 용산구청,2024-07-25,3020000,서울특별시 용산구
베트남퀴논거리,한국 용산구와 베트남 빈딩성 퀴논(꾸이년)시의 우호관계를 상징하는 거리,서울특별시 용산구 이태원로20길 2-12,서울특별시 용산구 이태원동 64-56,37.533923,126.991505,330.0,143,2016,02-2199-6114,서울특별시 용산구청,2024-07-25,3020000,서울특별시 용산구
경리단길,"번화가라 하기엔 조그마한 편이고, 이태원동에 속한 지역이지만 이태원과는 이질적인 분위기 때문에 유명했었다. 과거 육군중앙경리단이 이 길 초입에 있어 경리단길이라는 이름이 붙었다.",서울특별시 용산구 회나무로 45-1,서울특별시 용산구 이태원동 211-30,37.539969,126.991652,925.0,161,1969,02-2199-6114,서울특별시 용산구청,2024-07-25,3020000,서울특별시 용산구
삼산디자인거리,울산의신흥 쇼핑메카로 음식점+카페+책방+악세사리점 등 쇼핑과 먹거리에 대한 정보를 제공받을 수있음.,울산광역시 남구 삼산중로74,울산광역시 남구 삼산동 1527-1,35.53993324,129.3389913,416.0,131,2010,052-226-3534,울산광역시 남구청,2024-11-30,3700000,울산광역시 남구
바보디자인거리,울산대학교의 대학로로 음식점+카페+책방+악세사리점 등 쇼핑과 먹거리에 대한 정보를 제공받을 수있음.,울산광역시 남구 대학로84,울산광역시 남구 무거동 632,35.54321605,129.260325,395.0,146,2010,052-226-3534,울산광역시 남구청,2024-11-30,3700000,울산광역시 남구
왕생이길(1구간),달동문화공원과 연계한 문화 예술거리로 카페와 음식점이 형성되어 있음,울산광역시 남구 왕생로,울산광역시 남구 달동 1323,35.54471934,129.328826,418.0,49,2012,052-226-3534,울산광역시 남구청,2024-11-30,3700000,울산광역시 남구
왕생이길(2구간),울산의 역사+문화가 어우러진 예술이 어우러진 거리로 다양한 음식점과 웨딩관련 상점들이 조성되어 있음,울산광역시 남구 왕생로,울산광역시 남구 달동 1368-5,35.54045231,129.3306056,535.0,138,2016,052-226-3534,울산광역시 남구청,2024-11-30,3700000,울산광역시 남구
중촌동 맞춤거리 상점가,중촌동 옷맞춤 특화거리,대전광역시 중구 동서대로 1421번길 33(중촌동),대전광역시 중구 중촌동 411-5,36.33614052,127.4124519,450.0,50,2011,042-606-7223,대전광역시 중구청,2024-11-18,3650000,대전광역시 중구
충무자동차거리 상점가,자동차 특화거리,대전광역시 중구 충무로 122-1(대사동),대전광역시 중구 대사동 69-46,36.3186165,127.4304265,770.0,70,2012,042-606-7223,대전광역시 중구청,2024-11-18,3650000,대전광역시 중구
오류동 특화거리 상점가,음식특화거리,대전광역시 중구 계룡로 874번길 13(오류동),대전광역시 중구 오류동 153-1,36.32310538,127.4104115,400.0,61,2011,042-606-7223,대전광역시 중구청,2024-11-18,3650000,대전광역시 중구
상주읍성 문화거리,옛 읍성의 서쪽길로 문화의 거리 조성,경상북도 상주시 서성3길,경상북도 상주시 서성동 92-1,36.4178389,128.1610523,300.0,69,2014,054-537-7590,경상북도 상주시청,2024-11-18,5110000,경상북도 상주시
순천시 문화의 거리,"천년의 역사를 간직하고 있는 순천시의 영동 행동 금곡동 일원은 1309년 순천 지명이 처음 등장한 이후 현재까지 전남 동부권의 역사. 문화. 교육. 행정의 중심지였다.문화의 거리에는 옛 문화의 정취를 느낄 수 있는 700년 순천부읍성, 순천향교, 임청대 등 다양한 전통문화유산과 100년 전 미국선교사들이 순천에 자리 잡아 만들어진 근대기 마을 등 순천 사람들이 살아왔던 이야기와 풍경들이 있다.1000년을 넘게 이어져온 순천의 이야기는 도심의 현대화, 도시 중심기능 및 상권의 이동에 따라 쇠퇴하게 된다. 순천시는 원도시의 정체성을 되찾고 신시가지와 상생할 수 있는 방안으로 원도심이 가진 풍부한 역사문화자원을 활용하여 ’천년의 역사 문화가 숨 쉬는 거리’ 조성사업을 추진하였다.",전라남도 순천시 금곡길 28 일원,전라남도 순천시 행동 95,34.954948,127.481603,750.0,110,2008,061-749-6802,전라남도 순천시청 문화예술과,2024-11-19,4820000,전라남도 순천시
학성가구전문거리,"가구전문 특화거리로 1980년대부터 매장마련이 용이하며 지가가 저렴한 가구점들이 모여들어 형성되었다. 법령상 근거가 마련된 이후 16년도에 상점가 등록이 되었으며, 울산 대표 가구거리로 많은 고객들이 방문하고 있다.",울산광역시 중구 가구거리 13,울산광역시 중구 학성동 207-1,35.55375714,129.3363067,455.0,52,2016,052-290-3310,울산광역시 중구청,2024-11-13,3690000,울산광역시 중구
태화십리대숲먹거리단지,"1993년부터 형성되기 시작한 태화십리대밭 먹거리단지는 강변 2㎞에 140여개의 음식점이 다양한 메뉴를 취급하면서 운영 중임. ○ 2019년 7월 제2호 국가정원으로 지정된 ‘태화강국가정원’, 십리에 걸쳐 강변의 푸름을 자랑하는 전국 유일의 ‘십리대숲’, 차를 마시면서 태화강을 한눈에 감상할 수 있는 ‘태화강 전망대’, 마치 견우와 직녀가 만나던 오작교를 연상케 하는 아름다운 다리 ‘십리대밭교’가 가까이 있어 자연경관이 아름다운 지역임.",울산광역시 중구 태화강국가정원길1,울산광역시 중구 태화동 942-15,35.55515004,129.276149,2000.0,140,2007,052-290-3730,울산광역시 중구청,2024-11-13,3690000,울산광역시 중구
청주서문시장 삼겹살거리,"<세종실록지리지> 충청도편에도 청주가 돼지고기를 공물로 바쳤다고 기록되어 있을 정도로 청주는 삼겹살의 고장으로 손색이 없고, 청주를 대표하는 음식인 삼겹살을 과거 청주의 대표적인 시장 인 서문시장 주변을 음식특화거리로 지정하여 운영 중임. 이 거리에서는 독특한 파채, 파무침, 파절임 등 다양한 파절이가 특징인 맛있는 청주 삼겹살을 저렴하게 접할 수 있음.",충청북도 청주시 상당구 남사로89번길 일원,,36.634023,127.485395,230.0,12,2012,043-201-1988,충청북도 청주시청,2022-05-30,5710000,충청북도 청주시
서초음악문화지구,클래식 문화예술 특화거리,남부순환로317길,서울특별시 서초구 서초동 1475,,,410109.0,176,2018,02-2155-6202,서울특별시 서초구청,2023-07-07,3210000,서울특별시 서초구
걷고 싶은거리,걷고싶은 안성맞춤 명품거리에 가로수 조성을 구간별로 마중길+신명길+나래길로 구성.“안성의 장인정신 문화 예술이 세계의 중심에 서다” 의 상징적 의미를 두고 있음.,경기도 안성시 남파로+중앙로 일원,,,,4500.0,0,2012,031-678-2492,안성시 문화관광과,2023-06-27,4080000,경기도 안성시
김호중 소리길,김천예술고등학교에서 교동 연화지까지 이어지는 김호중 거리,경상북도 김천시 한일길 9-2,경상북도 김천시 교동 945-16,,,100.0,15,2020,054-420-6824,경상북도 김천시청,2024-06-26,5060000,경상북도 김천시
광양불고기 특화거리,광양숯불구이 축제가 열리는 서천변 일대 특화거리,전라남도 광양시 서천1길,전라남도 광양시 광양읍 칠성리 983,34.96947056,127.579099,792.0,43,2011,061-797-4052,전라남도 광양시청,2024-06-19,4840000,전라남도 광양시
이순신대교 먹거리타운,이순신 대교 일대의 먹거리 타운,전라남도 광양시 발섬6길,전라남도 광양시 중동 1798,34.93485642,127.6999269,624.0,122,2013,061-797-4052,전라남도 광양시청,2024-06-19,4840000,전라남도 광양시
진월망덕포구 먹거리타운,광양전어 축제가 열리는 망덕 포구 일대의 먹거리 타운,전라남도 광양시 진월면 망덕길,전라남도 광양시 진월면 망덕리 845-82,34.96787088,127.7579265,1417.0,15,2015,061-797-4052,전라남도 광양시청,2024-06-19,4840000,전라남도 광양시
파주 연풍길,연풍길 내 유휴공간을 리모델링하여 창작문화거리로 조성,경기도 파주시 연풍5길 일원,경기도 파주시 파주읍 연풍리 299-5번지 일원,37.8283376,126.3902786,350.0,13,2019,031-940-5722,경기도 파주시청,2024-06-18,4060000,경기도 파주시
장단콩 두부특화거리,파주시 지역특산물 장단콩을 활용하여 특색있는 두부 먹거리 촌으로 조성,경기도 파주시 법원읍 사임당로 809-1 ~ 827 일원,경기도 파주시 법원읍 대능리 94-192 ~ 94-38 일원,37.849387,126.872785,250.0,39,2021,031-940-8043,경기도 파주시청,2024-06-18,4060000,경기도 파주시
마지리벽화마을,말과 소로 대표되는 마을의 특성을 벽화로 표현,"경기도 파주시 적성면 솥뒤로 37번길, 57번길 일대","경기도 파주시 적성면 마지리 39번지, 172번지 일대",37.9541803,126.9184111,276.0,0,2015,031-940-8186,경기도 파주시청,2024-06-18,4060000,경기도 파주시
깔깔거리,구로디지털단지가 인접한 음식문화 특화거리,"서울특별시 구로구 디지털로32길, 디지털로32나길 일대",서울특별시 구로구 구로동 1124-7 (인근),,,410.0,182,2009,02-860-3233,서울특별시 구로구청,2024-06-18,3160000,서울특별시 구로구
명품가로공원,"도심 속 일상생활에서 접할 수 있는 다양한 수목과 초화, 수경시설을 만날 수 있는 쉼터",부산광역시 사상구 광장로,부산광역시 사상구 괘법동 572-18,35.16314953,128.978746,700.0,12,2013,051-310-4536,부산광역시 사상구청,2024-06-15,3390000,부산광역시 사상구
삼락재첩거리,사상구의 유명 요리인 재첩국을 맛볼 수 있는 맛집이 모여 있는 거리,부산광역시 사상구 낙동대로1530번길,부산광역시 사상구 삼락동 69-9,35.19351121,128.9863871,337.0,4,2022,051-310-4067,부산광역시 사상구청,2024-06-15,3390000,부산광역시 사상구
전포카페거리,"번화가인 서면1번가 맞은편 쪽에는 아기자기하게 꾸며놓은 개성있는 카페 30여곳이 들어서 있는 카페거리는 원래 공구, 철물 등 산업용품 및 자재를 파는 가게들이 많던 공구상가 거리였으나 2010년 이후 아기자기한 카페들이 들어서면서 이색적인 카페거리로 불리고 있다.",부산광역시 부산진구 전포대로209번길 26,부산광역시 부산진구 전포동 682,,,1050.0,35,2012,051-605-5821,부산광역시 부산진구청,2024-06-17,3290000,부산광역시 부산진구
퀸스로드 의류패션 명물거리,정통 유럽형 아울렛 단지로 쇼핑과 문화를 즐기는 복합문화공간,대구광역시 서구 평리로35길 18-8,대구광역시 서구 중리동 1136-167,35.86144513,128.5442471,942.0,90,2004,053-663-2654,대구광역시 서구청,2024-06-11,3430000,대구광역시 서구
서부오味가味거리,전통시장을 현대화하여 다양한 매뉴의 음식점 운영,대구광역시 서구 달서로 144-8,대구광역시 서구 비산동 434-14,35.87565992,128.5722265,280.0,50,2015,053-663-2654,대구광역시 서구청,2024-06-11,3430000,대구광역시 서구
원대가구 명물거리,유명브랜드 가구 및 사무용가구 전시 판매,대구광역시 서구 원대동1가 고성로 90,대구광역시 서구 원대동1가 173,35.88307256,128.5758974,730.0,33,2008,053-663-2654,대구광역시 서구청,2024-06-11,3430000,대구광역시 서구
큰장길 침구류 명물거리,침구류 상점 운영,대구광역시 서구 큰장로 81,대구광역시 서구 내당동 1008-46,35.8668933,128.5752095,1920.0,74,2004,053-663-2654,대구광역시 서구청,2024-06-11,3430000,대구광역시 서구
공구상가거리,공구상가가 밀집되어 있는 거리,충청남도 천안시 서북구 신용로,충청남도 천안시 동남구 다가동 368-39,36.80118377,127.1421752,600.0,215,2008,041-521-5609,충청남도 천안시청,2024-06-07,4490000,충청남도 천안시
상상길,한국의 아름다움을 상상하고 한국을 보고싶어하는 전 세계인의 마음을 모아 오색블록에 이름을 새겨 조성한 길,경상남도 창원시 마산합포구 동서북 10길,,35.206651,128.576475,155.0,70,2015,055-225-3701,경상남도 창원시청,2023-07-07,5670000,경상남도 창원시
마산아구찜거리,"창원(옛 마산)을 상징하는 요리중 하나로 건아귀로 만드는 마산아구찜만의 특유의 쫀득함과 담백함으로 전국적인 인기를 끌면서, 조리법을 배우거나 스스로 익힌 아구 요리 전문점이 하나 둘 생겨나 지금의 아구찜 거리가 형성되었다.",경상남도 창원시 마산합포구 아구찜길,,35.205586,128.578445,350.0,17,2016,055-225-3701,경상남도 창원시청,2023-07-07,5670000,경상남도 창원시
매운탕거리,괴산의 향토음식인 민물매운탕을 특화시켜 거리를 조성,충청북도 괴산군 괴산읍 괴강로느티울길 8-2,,36.805161,127.819195,800.0,8,2010,043-830-3473,충청북도 괴산군청,2023-07-10,4460000,충청북도 괴산군
미조항 음식특구,"남해의 싱싱한 활어회와 멸치, 갈치 등을 맛볼 수 있는 40여개의 음식점이 몰려 있음(미조면 미조로 ~ 미송로)",경상남도 남해군 미조면 미조로,,34.71222798,128.0466123,863.0,35,2015,055-860-8741,남해군 보건소,2024-03-18,5430000,경상남도 남해군
송도꽃게거리,"꽃게의 제철에 송도유원지 앞에서 인천상륙작전기념관 앞까지 이르는 길에는 꽃게요리를 맛보려는 차량행렬과 사람물결이 이어진다. 이곳이 바로 꽃게탕을 주메 뉴로 하는 음식점이 밀집되어 있는 꽃게거리다. 인천 사람도 많지만 서울이나 인근 수도권에서 일부러 꽃게요리를 맛보기 위해 찾는 발길도 많다. 제철이 따로 있다지만 저장기술이 발달한 요즈음은 사시사철 속이 꽉 찬 꽃게를 맛볼 수 있다. 유원지와 기념관, 시립박물관 등이 지척이라 가족나들이 코스로도 손색없다.",인천광역시 연수구 능허대로217+인권로8+대암로22번길 일원,인천광역시 연수구 옥련동 555-2+옥련동 550,37.416619,126.650713,82.0,6,1998,032-749-7952,인천광역시 연수구청,2024-03-31,3520000,인천광역시 연수구
노량진 컵밥거리,"노점으로 인한 보행불편, 위생, 안전 등 다양한 문제해결을 위해 좁은 보도에 밀집한 노점들을 보도공간이 넓은 곳으로 이전하여 ‘거리가게 특화거리’ 조성",서울특별시 동작구 노량진로 178,서울특별시 동작구 노량진동 148-88,37.51340778,126.9456937,92.0,26,2015,02-820-9152,서울특별시 동작구청,2024-07-03,3190000,서울특별시 동작구
홍주골 음식문화 거리,70여곳의 음식점이 밀집되어 있는 T자형 음식문화거리,충청남도 홍성군 홍성읍 법원로 23,충청남도 홍성군 홍성읍 월산리 895-3,,,800.0,70,2014,041-630-9015,충청남도 홍성군보건소,2024-06-28,4600000,충청남도 홍성군
